Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
1.350000000000e-02,5.353622070736e+02,2.390377027957e-02,6.098382010966e-03,1.990112687065e-03,2.079190690596e-01,1.620635537672e-02,7.435582703204e-01,1.012704092767e+04
1.350625000000e-02,5.377914412761e+02,2.384127446805e-02,6.187266297589e-03,2.012989993305e-03,2.077105486760e-01,1.635885433017e-02,7.435610569613e-01,1.045989517358e+04
1.351250000000e-02,5.402374853522e+02,2.377832935332e-02,6.277158722374e-03,2.036061014527e-03,2.075002552550e-01,1.651222389126e-02,7.435639528774e-01,1.080484011063e+04
1.351875000000e-02,5.427003467312e+02,2.371493410544e-02,6.368065832914e-03,2.059326404549e-03,2.072881828442e-01,1.666646267153e-02,7.435669588222e-01,1.116236640567e+04
1.352500000000e-02,5.451800320265e+02,2.365108790969e-02,6.459994164494e-03,2.082786810730e-03,2.070743255506e-01,1.682156924702e-02,7.435700755310e-01,1.153298661295e+04
1.353125000000e-02,5.476765470469e+02,2.358678996641e-02,6.552950239824e-03,2.106442873982e-03,2.068586775398e-01,1.697754215910e-02,7.435733037202e-01,1.191723627353e+04
1.353750000000e-02,5.501898968089e+02,2.352203949093e-02,6.646940568801e-03,2.130295228777e-03,2.066412330361e-01,1.713437991519e-02,7.435766440876e-01,1.231567508222e+04
1.354375000000e-02,5.527200855490e+02,2.345683571334e-02,6.741971648260e-03,2.154344503152e-03,2.064219863226e-01,1.729208098961e-02,7.435800973116e-01,1.272888812597e+04
1.355000000000e-02,5.552671167356e+02,2.339117787848e-02,6.838049961743e-03,2.178591318722e-03,2.062009317408e-01,1.745064382427e-02,7.435836640513e-01,1.315748719746e+04
1.355625000000e-02,5.578309930819e+02,2.332506524570e-02,6.935181979278e-03,2.203036290687e-03,2.059780636905e-01,1.761006682952e-02,7.435873449459e-01,1.360211218715e+04
1.356250000000e-02,5.604117165581e+02,2.325849708880e-02,7.033374157156e-03,2.227680027846e-03,2.057533766300e-01,1.777034838481e-02,7.435911406150e-01,1.406343255718e+04
1.356875000000e-02,5.630092884038e+02,2.319147269586e-02,7.132632937726e-03,2.252523132607e-03,2.055268650754e-01,1.793148683953e-02,7.435950516579e-01,1.454214889963e+04
1.357500000000e-02,5.656237091413e+02,2.312399136914e-02,7.232964749193e-03,2.277566201001e-03,2.052985236009e-01,1.809348051370e-02,7.435990786534e-01,1.503899458161e+04
1.358125000000e-02,5.682549785873e+02,2.305605242490e-02,7.334376005422e-03,2.302809822692e-03,2.050683468386e-01,1.825632769872e-02,7.436032221598e-01,1.555473747921e+04
1.358750000000e-02,5.709030958666e+02,2.298765519331e-02,7.436873105752e-03,2.328254580996e-03,2.048363294780e-01,1.842002665808e-02,7.436074827146e-01,1.609018180189e+04
1.359375000000e-02,5.735680594241e+02,2.291879901831e-02,7.540462434817e-03,2.353901052890e-03,2.046024662664e-01,1.858457562812e-02,7.436118608344e-01,1.664617000876e+04
1.360000000000e-02,5.762498670381e+02,2.284948325746e-02,7.645150362372e-03,2.379749809030e-03,2.043667520080e-01,1.874997281868e-02,7.436163570142e-01,1.722358481806e+04
1.360625000000e-02,5.789485158330e+02,2.277970728184e-02,7.750943243131e-03,2.405801413764e-03,2.041291815645e-01,1.891621641384e-02,7.436209717279e-01,1.782335131108e+04
1.361250000000e-02,5.816640022917e+02,2.270947047589e-02,7.857847416601e-03,2.432056425150e-03,2.038897498544e-01,1.908330457262e-02,7.436257054278e-01,1.844643913208e+04
1.361875000000e-02,5.843963222691e+02,2.263877223730e-02,7.965869206937e-03,2.458515394968e-03,2.036484518529e-01,1.925123542962e-02,7.436305585443e-01,1.909386478601e+04
1.362500000000e-02,5.871454710043e+02,2.256761197688e-02,8.075014922789e-03,2.485178868740e-03,2.034052825920e-01,1.942000709571e-02,7.436355314858e-01,1.976669403651e+04
1.363125000000e-02,5.899114431335e+02,2.249598911843e-02,8.185290857171e-03,2.512047385744e-03,2.031602371598e-01,1.958961765869e-02,7.436406246389e-01,2.046604440735e+04
1.363750000000e-02,5.926942327026e+02,2.242390309860e-02,8.296703287316e-03,2.539121479030e-03,2.029133107008e-01,1.976006518395e-02,7.436458383676e-01,2.119308779116e+04
1.364375000000e-02,5.954938331803e+02,2.235135336680e-02,8.409258474561e-03,2.566401675435e-03,2.026644984156e-01,1.993134771511e-02,7.436511730137e-01,2.194905317055e+04
1.365000000000e-02,5.983102374701e+02,2.227833938507e-02,8.522962664214e-03,2.593888495603e-03,2.024137955605e-01,2.010346327460e-02,7.436566288963e-01,2.273522945733e+04
