Pos,T,H2,O2,N2,H2O,Q
8.478125000000e-03,3.497174527474e+02,4.796456082498e-03,2.287277583001e-01,7.614625585677e-01,4.989304993961e-03,6.354905951681e-01
8.525000000000e-03,3.509569973606e+02,4.769500612775e-03,2.286494766570e-01,7.614375311955e-01,5.118859444158e-03,6.779363588163e-01
8.571875000000e-03,3.522249272012e+02,4.742404145657e-03,2.285690433613e-01,7.614118480571e-01,5.251343118231e-03,7.232246892891e-01
8.618750000000e-03,3.535217732574e+02,4.715167844212e-03,2.284864125490e-01,7.613855069438e-01,5.386802500838e-03,7.715473200778e-01
8.665625000000e-03,3.548480709969e+02,4.687792915565e-03,2.284015378986e-01,7.613585061229e-01,5.525284009169e-03,8.231091399337e-01
8.712500000000e-03,3.562043601687e+02,4.660280610726e-03,2.283143726477e-01,7.613308443552e-01,5.666833958850e-03,8.781291268773e-01
8.759375000000e-03,3.575911845962e+02,4.632632224363e-03,2.282248696103e-01,7.613025209123e-01,5.811498529258e-03,9.368413524942e-01
8.806250000000e-03,3.590090919599e+02,4.604849094510e-03,2.281329811953e-01,7.612735355945e-01,5.959323728313e-03,9.994960622665e-01
8.853125000000e-03,3.604586335717e+02,4.576932602240e-03,2.280386594254e-01,7.612438887476e-01,6.110355356794e-03,1.066360838201e+00
8.900000000000e-03,3.619403641396e+02,4.548884171715e-03,2.279418559789e-01,7.612135813535e-01,6.264638972879e-03,1.137721850581e+00
8.923437500000e-03,3.626935236578e+02,4.534810643189e-03,2.278925012286e-01,7.611981788801e-01,6.343023290853e-03,1.175192034273e+00
8.946875000000e-03,3.634549876058e+02,4.520704634951e-03,2.278425030651e-01,7.611826111604e-01,6.422242913970e-03,1.213907744704e+00
8.993750000000e-03,3.650030147023e+02,4.492396530746e-03,2.277405663912e-01,7.611509842733e-01,6.583192691175e-03,1.295225776977e+00
9.040625000000e-03,3.665849172145e+02,4.463961023044e-03,2.276360004639e-01,7.611187030810e-01,6.747529764828e-03,1.382026310897e+00
9.087500000000e-03,3.682012609306e+02,4.435399701484e-03,2.275287556793e-01,7.610857709080e-01,6.915298353328e-03,1.474684605285e+00
9.134375000000e-03,3.698526137277e+02,4.406714195573e-03,2.274187821766e-01,7.610521917193e-01,7.086542247645e-03,1.573602400847e+00
9.181250000000e-03,3.715395452858e+02,4.377906173962e-03,2.273060298618e-01,7.610179701350e-01,7.261304774364e-03,1.679209890759e+00
9.228125000000e-03,3.732626267961e+02,4.348977343668e-03,2.271904484317e-01,7.609831114432e-01,7.439628758856e-03,1.791967849765e+00
9.275000000000e-03,3.750224306610e+02,4.319929449248e-03,2.270719873991e-01,7.609476216136e-01,7.621556488657e-03,1.912369935793e+00
9.321875000000e-03,3.768195301888e+02,4.290764272498e-03,2.269505961486e-01,7.609115074128e-01,7.807129678223e-03,2.040945179473e+00
9.345312500000e-03,3.777323011714e+02,4.276137972531e-03,2.268887773752e-01,7.608932170662e-01,7.901306126546e-03,2.108490404753e+00
9.368750000000e-03,3.786546653512e+02,4.261482997443e-03,2.268262016328e-01,7.608747729391e-01,7.996415057543e-03,2.178303877767e+00
9.415625000000e-03,3.805283520075e+02,4.232088552585e-03,2.266987707635e-01,7.608374304187e-01,8.189430498922e-03,2.325012544728e+00
9.462500000000e-03,3.824410611077e+02,4.202582394036e-03,2.265682564863e-01,7.607994879031e-01,8.386213170358e-03,2.481725690693e+00
9.485937500000e-03,3.834122866442e+02,4.187787722721e-03,2.265018182523e-01,7.607802932934e-01,8.486039721726e-03,2.564072107161e+00
9.509375000000e-03,3.843935389414e+02,4.172965809520e-03,2.264345844582e-01,7.607609519069e-01,8.586828526224e-03,2.649197322958e+00
9.556250000000e-03,3.863862973989e+02,4.143241837441e-03,2.262977224874e-01,7.607218368500e-01,8.791291268360e-03,2.828125773329e+00
9.603125000000e-03,3.884198017031e+02,4.113412014105e-03,2.261576233766e-01,7.606821526917e-01,8.999636557549e-03,3.019321694636e+00
9.650000000000e-03,3.904946224870e+02,4.083478348800e-03,2.260142360939e-01,7.606419112360e-01,9.211901107386e-03,3.223651925148e+00
9.696875000000e-03,3.926113286633e+02,4.053442878573e-03,2.258675096615e-01,7.606011250477e-01,9.428120787200e-03,3.442047837003e+00
9.743750000000e-03,3.947704870831e+02,4.023307666925e-03,2.257173931831e-01,7.605598074567e-01,9.648330592250e-03,3.675510524987e+00
9.790625000000e-03,3.969726621941e+02,3.993074802459e-03,2.255638358710e-01,7.605179725609e-01,9.872564615055e-03,3.925116454186e+00
